code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category,special_chars_2019,special_chars_2021,special_chars_2020
CK114,CK,Social Science (Youth and Community Work),,,,,,,#,,,University College Cork (NUI),Welfare,#,#,#
CK115,CK,Social Work - Mature Applicants only,,,,,,,,,,University College Cork (NUI),Welfare,#,NaN,
CK118,CK,Digital Humanities and IT - 3 or 4 years (Work Exp,307.0,361.0,336.0,,,,,347.0,339.0,University College Cork (NUI),Arts,NaN,NaN,
CK120,CK,Applied Psychology,506.0,532.0,533.0,532.0,*,*,,544.0,543.0,University College Cork (NUI),Social and behavioural sciences,NaN,*,*
CK121,CK,Psychology and Computing - 3 or 4 years (Work Expe,393.0,466.0,466.0,,,,,499.0,488.0,University College Cork (NUI),Social and behavioural sciences,NaN,NaN,
CK122,CK,Government and Political Science,355.0,410.0,337.0,328.0,,,,399.0,,University College Cork (NUI),Social and behavioural sciences,NaN,NaN,
CK123,CK,Anthropology,,,308.0,,,,,308.0,,University College Cork (NUI),Humanities (except languages),NaN,NaN,
CK124,CK,Education - Gaeilge,,,463.0,462.0,,,,473.0,,University College Cork (NUI),Education,NaN,NaN,
CK125,CK,Sports Studies and Physical Education,,,510.0,509.0,*,*,,564.0,555.0,University College Cork (NUI),Education,NaN,*,*
CK201,CK,Commerce,465.0,489.0,477.0,,*,,,500.0,499.0,University College Cork (NUI),Business and administration,*,*,*
CK202,CK,Accounting,467.0,506.0,509.0,,,,,553.0,543.0,University College Cork (NUI),Business and administration,NaN,*,
CK203,CK,Business Information Systems,409.0,444.0,430.0,,,,,455.0,452.0,University College Cork (NUI),Information and Communication Technologies (ICTs),NaN,NaN,
CK204,CK,Finance,531.0,555.0,556.0,,,,,566.0,566.0,University College Cork (NUI),Business and administration,NaN,*,
CK205,CK,Commerce (International) with French,409.0,473.0,445.0,,,,,465.0,,University College Cork (NUI),Business and administration,NaN,NaN,
CK206,CK,Commerce (International) with German,408.0,446.0,420.0,418.0,,,,466.0,455.0,University College Cork (NUI),Business and administration,NaN,NaN,
CK207,CK,Commerce (International) with Italian,408.0,425.0,388.0,,,,,423.0,418.0,University College Cork (NUI),Business and administration,NaN,NaN,
CK208,CK,Commerce (International) with Hispanic Studies,431.0,455.0,402.0,,,,,488.0,486.0,University College Cork (NUI),Business and administration,NaN,NaN,
CK209,CK,Commerce (International) with Irish,509.0,528.0,484.0,,,,,507.0,,University College Cork (NUI),Business and administration,NaN,NaN,
CK211,CK,Commerce (International) with Chinese Studies,398.0,420.0,397.0,,,,,385.0,,University College Cork (NUI),Business and administration,NaN,NaN,
CK212,CK,Economics (through Transformational Learning) 3 or,400.0,429.0,444.0,,,,,445.0,444.0,University College Cork (NUI),Social and behavioural sciences,NaN,NaN,
