,category,variable,value,year
216,Engineering and engineering trades,points_r1_2019,310.0,2019
217,Engineering and engineering trades,points_r1_2019,279.0,2019
218,Engineering and engineering trades,points_r1_2019,366.0,2019
219,Arts,points_r1_2019,327.0,2019
220,Law,points_r1_2019,298.0,2019
221,Arts,points_r1_2019,286.0,2019
222,Welfare,points_r1_2019,265.0,2019
223,Welfare,points_r1_2019,290.0,2019
224,Business and administration,points_r1_2019,248.0,2019
225,Information and Communication Technologies (ICTs),points_r1_2019,279.0,2019
226,Personal services,points_r1_2019,700.0,2019
227,Business and administration,points_r1_2019,260.0,2019
228,Business and administration,points_r1_2019,270.0,2019
229,Business and administration,points_r1_2019,301.0,2019
230,,points_r1_2019,399.0,2019
231,Information and Communication Technologies (ICTs),points_r1_2019,242.0,2019
232,Information and Communication Technologies (ICTs),points_r1_2019,326.0,2019
233,Information and Communication Technologies (ICTs),points_r1_2019,269.0,2019
234,Information and Communication Technologies (ICTs),points_r1_2019,242.0,2019
235,Information and Communication Technologies (ICTs),points_r1_2019,227.0,2019
236,Arts,points_r1_2019,233.0,2019
237,Business and administration,points_r1_2019,229.0,2019
238,Business and administration,points_r1_2019,269.0,2019
239,Business and administration,points_r1_2019,225.0,2019
240,Business and administration,points_r1_2019,226.0,2019
241,,points_r1_2019,210.0,2019
242,Business and administration,points_r1_2019,225.0,2019
243,Information and Communication Technologies (ICTs),points_r1_2019,402.0,2019
244,,points_r1_2019,284.0,2019
245,Information and Communication Technologies (ICTs),points_r1_2019,253.0,2019
246,Social and behavioural sciences,points_r1_2019,235.0,2019
247,Business and administration,points_r1_2019,220.0,2019
248,Social and behavioural sciences,points_r1_2019,208.0,2019
249,Social and behavioural sciences,points_r1_2019,216.0,2019
250,Arts,points_r1_2019,192.0,2019
251,Law,points_r1_2019,245.0,2019
252,Business and administration,points_r1_2019,279.0,2019
253,Business and administration,points_r1_2019,328.0,2019
254,Education,points_r1_2019,398.0,2019
255,Education,points_r1_2019,462.0,2019
256,Education,points_r1_2019,433.0,2019
257,Education,points_r1_2019,,2019
258,Arts,points_r1_2019,347.0,2019
259,Education,points_r1_2019,386.0,2019
260,Education,points_r1_2019,352.0,2019
261,Education,points_r1_2019,367.0,2019
262,Education,points_r1_2019,410.0,2019
263,Arts,points_r1_2019,428.0,2019
264,Languages,points_r1_2019,440.0,2019
265,Business and administration,points_r1_2019,463.0,2019
266,Business and administration,points_r1_2019,495.0,2019
267,Business and administration,points_r1_2019,440.0,2019
268,Business and administration,points_r1_2019,501.0,2019
269,Business and administration,points_r1_2019,487.0,2019
270,Business and administration,points_r1_2019,578.0,2019
271,Engineering and engineering trades,points_r1_2019,463.0,2019
272,Business and administration,points_r1_2019,357.0,2019
273,Business and administration,points_r1_2019,566.0,2019
274,Information and Communication Technologies (ICTs),points_r1_2019,350.0,2019
275,Information and Communication Technologies (ICTs),points_r1_2019,370.0,2019
276,Information and Communication Technologies (ICTs),points_r1_2019,467.0,2019
277,Mathematics and statistics,points_r1_2019,520.0,2019
278,Mathematics and statistics,points_r1_2019,509.0,2019
279,Humanities (except languages),points_r1_2019,400.0,2019
280,Journalism and information,points_r1_2019,401.0,2019
281,Arts,points_r1_2019,403.0,2019
282,Languages,points_r1_2019,371.0,2019
283,Physical sciences,points_r1_2019,446.0,2019
284,Physical sciences,points_r1_2019,488.0,2019
285,,points_r1_2019,,2019
286,Environment,points_r1_2019,412.0,2019
287,Biological and related sciences,points_r1_2019,489.0,2019
288,Physical sciences,points_r1_2019,,2019
289,,points_r1_2019,,2019
290,Biological and related sciences,points_r1_2019,476.0,2019
291,Engineering and engineering trades,points_r1_2019,391.0,2019
292,Engineering and engineering trades,points_r1_2019,404.0,2019
293,,points_r1_2019,,2019
294,Engineering and engineering trades,points_r1_2019,401.0,2019
295,Health,points_r1_2019,402.0,2019
296,Engineering and engineering trades,points_r1_2019,381.0,2019
297,Health,points_r1_2019,467.0,2019
298,Education,points_r1_2019,424.0,2019
299,Health,points_r1_2019,484.0,2019
300,Education,points_r1_2019,490.0,2019
301,Education,points_r1_2019,443.0,2019
302,,points_r1_2019,,2019
303,Social and behavioural sciences,points_r1_2019,509.0,2019
304,Health,points_r1_2019,419.0,2019
305,,points_r1_2019,,2019
306,Health,points_r1_2019,414.0,2019
307,Health,points_r1_2019,368.0,2019
308,Health,points_r1_2019,347.0,2019
309,Health,points_r1_2019,467.0,2019
310,Social and behavioural sciences,points_r1_2019,400.0,2019
311,Social and behavioural sciences,points_r1_2019,387.0,2019
312,Law,points_r1_2019,453.0,2019
313,Education,points_r1_2019,307.0,2019
314,Humanities (except languages),points_r1_2019,358.0,2019
315,Business and administration,points_r1_2019,451.0,2019
316,,points_r1_2019,,2019
317,Arts,points_r1_2019,349.0,2019
318,Arts,points_r1_2019,356.0,2019
319,Arts,points_r1_2019,369.0,2019
320,,points_r1_2019,,2019
321,Arts,points_r1_2019,348.0,2019
322,Biological and related sciences,points_r1_2019,454.0,2019
323,Journalism and information,points_r1_2019,,2019
324,,points_r1_2019,316.0,2019
325,,points_r1_2019,434.0,2019
326,,points_r1_2019,402.0,2019
327,,points_r1_2019,402.0,2019
328,Business and administration,points_r1_2019,306.0,2019
329,Business and administration,points_r1_2019,300.0,2019
330,Information and Communication Technologies (ICTs),points_r1_2019,307.0,2019
331,Information and Communication Technologies (ICTs),points_r1_2019,301.0,2019
332,Information and Communication Technologies (ICTs),points_r1_2019,,2019
333,Architecture and construction,points_r1_2019,302.0,2019
334,Architecture and construction,points_r1_2019,301.0,2019
335,Architecture and construction,points_r1_2019,300.0,2019
336,Engineering and engineering trades,points_r1_2019,303.0,2019
337,Engineering and engineering trades,points_r1_2019,,2019
338,Engineering and engineering trades,points_r1_2019,,2019
339,Architecture and construction,points_r1_2019,,2019
340,Personal services,points_r1_2019,,2019
341,Social and behavioural sciences,points_r1_2019,300.0,2019
342,Welfare,points_r1_2019,300.0,2019
343,Arts,points_r1_2019,300.0,2019
344,Arts,points_r1_2019,300.0,2019
345,Arts,points_r1_2019,301.0,2019
346,Health,points_r1_2019,392.0,2019
347,Health,points_r1_2019,300.0,2019
348,Health,points_r1_2019,356.0,2019
349,Welfare,points_r1_2019,305.0,2019
350,Health,points_r1_2019,398.0,2019
351,Health,points_r1_2019,300.0,2019
352,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",points_r1_2019,303.0,2019
353,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",points_r1_2019,300.0,2019
354,Agriculture,points_r1_2019,,2019
355,Manufacturing and processing,points_r1_2019,,2019
356,Manufacturing and processing,points_r1_2019,,2019
357,Environment,points_r1_2019,,2019
358,Arts,points_r1_2019,499.0,2019
359,Business and administration,points_r1_2019,209.0,2019
360,Business and administration,points_r1_2019,260.0,2019
361,Social and behavioural sciences,points_r1_2019,349.0,2019
362,Arts,points_r1_2019,736.0,2019
363,Arts,points_r1_2019,583.0,2019
364,Arts,points_r1_2019,855.0,2019
365,Arts,points_r1_2019,636.0,2019
366,Information and Communication Technologies (ICTs),points_r1_2019,217.0,2019
367,Humanities (except languages),points_r1_2019,290.0,2019
368,Arts,points_r1_2019,746.0,2019
369,Information and Communication Technologies (ICTs),points_r1_2019,,2019
370,Business and administration,points_r1_2019,,2019
371,Arts,points_r1_2019,,2019
372,,points_r1_2019,,2019
373,,points_r1_2019,,2019
374,,points_r1_2019,,2019
375,Humanities (except languages),points_r1_2019,211.0,2019
376,Arts,points_r1_2019,691.0,2019
377,Arts,points_r1_2019,817.0,2019
378,Arts,points_r1_2019,879.0,2019
379,Arts,points_r1_2019,893.0,2019
380,Arts,points_r1_2019,933.0,2019
381,,points_r1_2019,237.0,2019
382,Architecture and construction,points_r1_2019,473.0,2019
383,Architecture and construction,points_r1_2019,353.0,2019
384,Architecture and construction,points_r1_2019,367.0,2019
385,Engineering and engineering trades,points_r1_2019,511.0,2019
386,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",points_r1_2019,521.0,2019
387,Information and Communication Technologies (ICTs),points_r1_2019,488.0,2019
388,Mathematics and statistics,points_r1_2019,577.0,2019
389,Environment,points_r1_2019,,2019
390,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",points_r1_2019,420.0,2019
391,Agriculture,points_r1_2019,434.0,2019
392,Health,points_r1_2019,493.0,2019
393,Veterinary,points_r1_2019,567.0,2019
394,Veterinary,points_r1_2019,,2019
395,Veterinary,points_r1_2019,441.0,2019
396,Health,points_r1_2019,735.0,2019
397,Health,points_r1_2019,59.0,2019
398,Health,points_r1_2019,507.0,2019
399,Health,points_r1_2019,,2019
400,Health,points_r1_2019,542.0,2019
401,Health,points_r1_2019,488.0,2019
402,Business and administration,points_r1_2019,436.0,2019
403,Biological and related sciences,points_r1_2019,565.0,2019
