,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
182,Engineering and engineering trades,Mechanical Engineering,CR108,,,,,,,,8,Cork Institute of Technology,,,
183,Architecture and construction,Structural Engineering,CR109,,,,,,,,8,Cork Institute of Technology,,,
184,Transport services,Automotive Business Management and Technology,CR110,,,,,,,,8,Cork Institute of Technology,,,
185,Arts,Creative Digital Media,CR112,,,,,,,,8,Cork Institute of Technology,,,
186,Information and Communication Technologies (ICTs),Computer Systems,CR116,,,,,,,,8,Cork Institute of Technology,,,
187,Arts,Music at CIT Cork School of Music,CR121,,,,,,,,8,Cork Institute of Technology,#,,
188,Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,,,,,,,,8,Cork Institute of Technology,#,,
189,Arts,Popular Music: Drums at CIT Cork School of Music,CR126,,,,,,,,8,Cork Institute of Technology,#,,
190,Arts,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,,,,,,,,8,Cork Institute of Technology,#,,
191,Arts,Popular Music: Keyboards at CIT Cork School of Music,CR128,,,,,,,,8,Cork Institute of Technology,#,,
192,Arts,Popular Music: Voice at CIT Cork School of Music,CR129,,,,,,,,8,Cork Institute of Technology,#,,
193,Arts,Musical Theatre at CIT Cork School of Music,CR130,,,,,,,,8,Cork Institute of Technology,#,,
194,Business and administration,Business Information Systems,CR150,,,,,,,,8,Cork Institute of Technology,,,
195,Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
196,Arts,Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
197,Arts,Photography with New Media,CR225,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
199,Physical sciences,Physical Sciences (Common Entry),CR305,,,,,,,,8,Cork Institute of Technology,,,
200,Information and Communication Technologies (ICTs),IT Management,CR310,,,,,,,,8,Cork Institute of Technology,,,
201,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,,,,,,,,8,Cork Institute of Technology,,,
202,Biological and related sciences,Pharmaceutical Biotechnology,CR325,,,,,,,,8,Cork Institute of Technology,,,
203,Health,Nutrition and Health Science,CR333,,,,,,,,8,Cork Institute of Technology,,,
204,Biological and related sciences,Biological Sciences (Common Entry),CR335,,,,,,,,8,Cork Institute of Technology,,,
205,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,,,,,,,,8,Cork Institute of Technology,,,
206,Physical sciences,Instrument Engineering,CR360,,,,,,,,8,Cork Institute of Technology,,,
207,Environment,Environmental Science and Sustainable Technology,CR365,,,,,,,,8,Cork Institute of Technology,,,
208,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,,,,,,,,8,Cork Institute of Technology,,,
209,Business and administration,Accounting,CR400,,,,,,,,8,Cork Institute of Technology,,,
210,Business and administration,Marketing,CR420,,,,,,,,8,Cork Institute of Technology,,,
211,Business and administration,International Business with Language,CR425,,,,,,,,8,Cork Institute of Technology,,,
212,Personal services,Sport and Exercise Management,CR430,,,,,,,,8,Cork Institute of Technology,,,
213,Education,Montessori Education,CR440,,,,,,,,8,Cork Institute of Technology,,,
214,Engineering and engineering trades,Engineering (Common Entry),CR500,,,,,,,,8,Cork Institute of Technology,,,
215,Environment,Sustainable Energy Engineering,CR510,,,,,,,,8,Cork Institute of Technology,,,
216,Health,Biomedical Engineering,CR520,,,,,,,,8,Cork Institute of Technology,,,
217,Architecture and construction,Architectural Technology,CR560,,,,,,,,8,Cork Institute of Technology,,,
218,Architecture and construction,Interior Architecture,CR565,,,,,,,,8,Cork Institute of Technology,,,
219,Architecture and construction,Quantity Surveying,CR570,,,,,,,,8,Cork Institute of Technology,,,
220,Architecture and construction,Construction Management,CR572,,,,,,,,8,Cork Institute of Technology,,,
221,Engineering and engineering trades,Electrical Engineering,CR580,,,,,,,,8,Cork Institute of Technology,,,
222,Engineering and engineering trades,Electronic Engineering,CR590,,,,,,,,8,Cork Institute of Technology,,,
223,Arts,Visual Communications,CR600,#+matric,,,,#+matric,,#+matric,8,Cork Institute of Technology,#,,
229,Personal services,Tourism Management,CR660,,,,,,,,8,Cork Institute of Technology,,,
230,Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,,,,,,,,8,Cork Institute of Technology,#,,
235,Information and Communication Technologies (ICTs),Information Technology,CT125,,,,,,,,8,CCT College Dublin,,avp,
236,Business and administration,Business,CT325,,,,,,,,8,CCT College Dublin,,avp,
238,Business and administration,Business (options),CW018,,,,,,,,8,"Institute of Technology, Carlow",,,
240,Welfare,Early Childhood Education and Care,CW028,,,,,,,,8,"Institute of Technology, Carlow",,,
242,Arts,Art (portfolio),CW038,,,,,,,,8,"Institute of Technology, Carlow",#,,
245,Personal services,Tourism and Event Management,CW058,,,,,,,,8,"Institute of Technology, Carlow",,,
246,Welfare,Applied Social Studies in Professional Social Care,CW068,,,,,,,,8,"Institute of Technology, Carlow",,,
