,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
772,Transport services,Automotive Engineering and Transport Management,LC380,,,,,,,,8,Limerick Institute of Technology,,,
773,Personal services,Business Studies in Beauty and Spa Management,LC392,,,,,,,,8,Limerick Institute of Technology,,,
774,Welfare,Early Childhood Education and Care,LC393,,,,,,,,8,Limerick Institute of Technology,,,
777,Welfare,Early Childhood Education and Care,LC401,,,,,,,,8,Limerick Institute of Technology,,,
778,Welfare,Social Care Work,LC402,,,,,,,,8,Limerick Institute of Technology,,,
779,Environment,Environmental Science and Climate,LC408,,,,,,,,8,Limerick Institute of Technology,,,
780,Information and Communication Technologies (ICTs),Data Analytics and Cyber Security,LC414,,,,,,,,8,Limerick Institute of Technology,,,
782,Business and administration,Business,LC416,,,,,,,,8,Limerick Institute of Technology,,,
783,Information and Communication Technologies (ICTs),Computing - Games Design and Development,LC418,,,,,,,,8,Limerick Institute of Technology,,,
784,Personal services,Sports Strength and Conditioning,LC422,,,,,,,,8,Limerick Institute of Technology,,,
789,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC434,,,,,,,,8,Limerick Institute of Technology,,,
790,Information and Communication Technologies (ICTs),Game Art and Design (portfolio),LC502,,,,,,,,8,Limerick Institute of Technology,#,,
792,Information and Communication Technologies (ICTs),Creative Media and Design,LC517,,,,,,,,8,Limerick Institute of Technology,,,
793,Information and Communication Technologies (ICTs),Digital Animation Production (portfolio),LC518,,,,,,,,8,Limerick Institute of Technology,#,,
797,Welfare,Social Care Work,LC612,,,,,,,,8,Limerick Institute of Technology,,,
798,Welfare,Early Childhood Education and Care,LC613,,,,,,,,8,Limerick Institute of Technology,,,
799,Humanities (except languages),Arts,LM002,,,,,,,,8,University of Limerick,,,
800,Law,Law and Accounting,LM020,,,,,,,,8,University of Limerick,,,
801,Arts,Performing Arts (audition required),LM026,,,,,,,,8,University of Limerick,#,,
802,Law,Criminal Justice,LM028,,,,,,,,8,University of Limerick,,,
803,Law,Law Plus,LM029,,,,,,,,8,University of Limerick,,,
804,Social and behavioural sciences,Psychology and Sociology,LM038,,,,,,,,8,University of Limerick,,,
805,Journalism and information,Journalism and Digital Communication,LM039,,,,,,,,8,University of Limerick,,,
806,Humanities (except languages),European Studies,LM040,,,,,,,,8,University of Limerick,,,
807,Languages,Applied Languages,LM044,,,,,,,,8,University of Limerick,,,
808,Business and administration,Business Studies (options),LM050,,,,,,,,8,University of Limerick,,,
809,Business and administration,International Business,LM056,,,,,,,,8,University of Limerick,,,
810,Mathematics and statistics,Financial Mathematics,LM058,,,,,,,,8,University of Limerick,,,
811,Information and Communication Technologies (ICTs),Technology Management,LM063,,,,,,,,8,University of Limerick,,,
812,Manufacturing and processing,Food Science and Health,LM068,,,,,,,,8,University of Limerick,,,
813,Manufacturing and processing,Product Design and Technology (portfolio required),LM076,,,,,,,,8,University of Limerick,#,,
814,Engineering and engineering trades,Aeronautical Engineering,LM077,,,,,,,,8,University of Limerick,,,
815,Manufacturing and processing,Construction Management and Engineering,LM082,,,,,,,,8,University of Limerick,,,
816,Personal services,Sport and Exercise Sciences,LM089,,,,,,,,8,University of Limerick,,,
817,Education,Physical Education with concurrent Teacher Education,LM090,,*,,,,*,,8,University of Limerick,,,
818,Education,Languages with concurrent Teacher Education,LM091,,,,,,,,8,University of Limerick,,,
819,Education,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,,,,,,,,8,University of Limerick,,,
820,Biological and related sciences,Equine Science,LM093,,,,,,,,8,University of Limerick,,,
821,Education,Materials and Architectural Technology with concurrent Teacher Education,LM094,,,,,,,,8,University of Limerick,,,
822,Education,Materials and Engineering Technology with concurrent Teacher Education,LM095,,,,,,,,8,University of Limerick,,,
823,Education,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,,,,,,,,8,University of Limerick,,,
824,Mathematics and statistics,Mathematics and Computer Science with concurrent Teacher Education,LM097,,,,,,,,8,University of Limerick,,,
825,Architecture and construction,Architecture (portfolio requirement suspended),LM099,,,,,,,,8,University of Limerick,#,,
826,Health,Physiotherapy,LM100,,*,,,,*,,8,University of Limerick,,,
827,Health,Medicine  - Graduate Entry (GAMSAT required),LM101,,*,,,,*,,8,University of Limerick,#,,
828,Social and behavioural sciences,Psychology,LM102,,,,,,,,8,University of Limerick,,,
829,Health,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,,,,,,,,8,University of Limerick,#,,
830,Physical sciences,Chemical and Biochemical Engineering,LM115,,,,,,,,8,University of Limerick,,,
831,Engineering and engineering trades,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,,*,,,,*,,8,University of Limerick,,,
832,Engineering and engineering trades,Electronic and Computer Engineering,LM118,,,,,,,,8,University of Limerick,,,
833,Information and Communication Technologies (ICTs),Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,,,,,,,,8,University of Limerick,,,
834,Information and Communication Technologies (ICTs),Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,,,,,,,,8,University of Limerick,,,
835,Biological and related sciences,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,,*,,,,*,,8,University of Limerick,,,
836,Mathematics and statistics,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,,,,,,,,8,University of Limerick,,,
837,Physical sciences,Physics (Applied Physics or Mathematics & Physics),LM125,,,,,,,,8,University of Limerick,,,
838,Health,General Nursing,LM150,,*,,,,*,,8,University of Limerick,,,
839,Health,Mental Health Nursing,LM152,,*,,,,*,,8,University of Limerick,,,
840,Health,Intellectual Disability Nursing,LM154,,,,,,,,8,University of Limerick,,,
841,Health,Midwifery,LM156,,,,,,,,8,University of Limerick,,,
844,Business and administration,Business - Accounting,LY108,,,,,,,,8,Letterkenny Institute of Technology,,,
845,Business and administration,Business,LY118,,,,,,,,8,Letterkenny Institute of Technology,,,
848,Law,Law,LY208,,,,,,,,8,Letterkenny Institute of Technology,,,
849,Personal services,Sports and Exercise - Common Entry,LY228,,,,,,,,8,Letterkenny Institute of Technology,,,
852,Arts,Design - Common Entry,LY408,,,,,,,,8,Letterkenny Institute of Technology,#,,
858,Architecture and construction,Fire Safety Engineering,LY508,,,,,,,,8,Letterkenny Institute of Technology,,,
859,Architecture and construction,Quantity Surveying,LY518,,,,,,,,8,Letterkenny Institute of Technology,,,
861,Architecture and construction,Construction Management,LY528,,,,,,,,8,Letterkenny Institute of Technology,,,
863,Engineering and engineering trades,Mechanical Engineering,LY608,,,,,,,,8,Letterkenny Institute of Technology,,,
865,Engineering and engineering trades,Electronic Engineering,LY618,,,,,,,,8,Letterkenny Institute of Technology,,,
867,Information and Communication Technologies (ICTs),Applied Computing,LY708,,,,,,,,8,Letterkenny Institute of Technology,,,
870,Information and Communication Technologies (ICTs),Computer Science,LY748,,,,,,,,8,Letterkenny Institute of Technology,,avp,
874,Biological and related sciences,Science - Common Entry,LY818,,,,,,,,8,Letterkenny Institute of Technology,,,
876,Agriculture,Agriculture - Common Entry,LY828,,,,,,,,8,Letterkenny Institute of Technology,,,
884,Health,General Nursing,LY908,,*,,,,*,,8,Letterkenny Institute of Technology,,,
886,Health,Psychiatric Nursing,LY918,,*,,,,,,8,Letterkenny Institute of Technology,,,
887,Health,Intellectual Disability Nursing,LY928,,*,,,,,,8,Letterkenny Institute of Technology,,,
888,Welfare,"Early Childhood Care, Health and Education",LY968,,,,,,,,8,Letterkenny Institute of Technology,,,
889,Health,Health & Social Care - Common Entry,LY978,,,,,,,,8,Letterkenny Institute of Technology,,,
890,Education,Education - Primary Teaching (Froebel),MH001,,,,,,,,8,Maynooth University,,,
891,Education,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,,,,,,8,Maynooth University,#,,
892,Humanities (except languages),Arts,MH101,,,,,,,,8,Maynooth University,,,
893,Arts,Music,MH103,#,,,,#,,#,8,Maynooth University,#,,
894,Social and behavioural sciences,Psychology - 3 years,MH106,,,,,,,,8,Maynooth University,,,
895,Social and behavioural sciences,Social Science,MH107,,,,,,,,8,Maynooth University,,,
896,Arts,Media Studies,MH109,,,,,,,,8,Maynooth University,,,
897,Welfare,Community and Youth Work (Full-Time),MH116,#,,,,#,,#,8,Maynooth University,#,,
898,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science,MH201,,,,,,,,8,Maynooth University,,,
899,Biological and related sciences,Biotechnology,MH202,,,,,,,,8,Maynooth University,,,
900,Biological and related sciences,Biological and Geographical Sciences,MH203,,,,,,,,8,Maynooth University,,,
901,Physical sciences,Physics with Astrophysics,MH204,,,,,,,,8,Maynooth University,,,
902,Mathematics and statistics,Theoretical Physics and Mathematics,MH206,,,,,,,,8,Maynooth University,,,
903,Information and Communication Technologies (ICTs),Data Science,MH207,,,,,,,,8,Maynooth University,,,
904,Biological and related sciences,Biological and Biomedical Sciences,MH208,,,,,,,,8,Maynooth University,,,
905,Social and behavioural sciences,Psychology (through Science) - 4 years,MH209,,,,,,,,8,Maynooth University,,,
906,Physical sciences,Pharmaceutical and Biomedical Chemistry,MH210,,,,,,,,8,Maynooth University,,,
907,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,,,,,,,,8,Maynooth University,,,
908,Engineering and engineering trades,Engineering (Computer/Electronic/Communications),MH304,,,,,,,,8,Maynooth University,,avp,
909,Engineering and engineering trades,Product Design,MH305,,,,,,,,8,Maynooth University,,,
910,Engineering and engineering trades,Robotics and Intelligent Devices,MH306,,,,,,,,8,Maynooth University,,,
911,Business and administration,Finance (options),MH401,,,,,,,,8,Maynooth University,,,
912,Business and administration,Quantitative Finance,MH402,,,,,,,,8,Maynooth University,,,
913,Business and administration,Accounting and Finance,MH403,,,,,,,,8,Maynooth University,,,
914,Business and administration,Business (options),MH404,,,,,,,,8,Maynooth University,,,
915,Business and administration,Equine Business,MH405,,,,,,,,8,Maynooth University,,,
916,Business and administration,Business and Accounting,MH407,,,,,,,,8,Maynooth University,,,
917,Business and administration,Entrepreneurship,MH411,,,,,,,,8,Maynooth University,,,
918,Law,LLB Law - four year Single Major Law programme,MH501,,,,,,,,8,Maynooth University,,,
919,Law,Law (options),MH502,,,,,,,,8,Maynooth University,,,
920,Information and Communication Technologies (ICTs),Computer Science through Arts (options),MH601,,,,,,,,8,Maynooth University,,,
921,Information and Communication Technologies (ICTs),Computer Science through Science (options),MH602,,,,,,,,8,Maynooth University,,,
922,Information and Communication Technologies (ICTs),Computational Thinking,MH603,,,,,,,,8,Maynooth University,,,
923,Education,Early Childhood - Teaching and Learning (part-time),MH801,,,,,,,,8,Maynooth University,,,
924,Welfare,"Community and Youth Work (part-time, in service)",MH802,#,,#,,#,,,8,Maynooth University,#,avp,
925,Social and behavioural sciences,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,#,,#,,#,,,8,Maynooth University,#,avp,
926,Arts,Contemporary & Applied Theatre Studies,MI001,,,,,,,,8,Mary Immaculate College,,,
927,Arts,Arts,MI002,,,,,,,,8,Mary Immaculate College,,,
928,Education,Education - Primary Teaching - International,MI004,,,,,,,,8,Mary Immaculate College,,,
929,Education,Education - Primary Teaching,MI005,,,,,,,,8,Mary Immaculate College,,,
930,Education,Education - Primary Teaching - Gaeltacht Applicants,MI006,,,,,,,,8,Mary Immaculate College,#,,
931,Education,Early Childhood Care and Education,MI007,,,,,,,,8,Mary Immaculate College,,,
932,Education,Education and Psychology - Primary Teaching,MI008,,,,,,,,8,Mary Immaculate College,,,
933,Education,"Education, Business Studies and Accounting",MI009,,,,,,,,8,Mary Immaculate College,,,
934,Education,"Education, Business Studies and Religious Studies",MI010,,,,,,,,8,Mary Immaculate College,,,
935,Education,"Education, Gaeilge and Religious Studies",MI011,,,,,,,,8,Mary Immaculate College,,,
936,Education,"Education, Gaeilge and Business Studies",MI012,,,,,,,,8,Mary Immaculate College,,,
937,Education,"Education, Mathematics and Gaeilge",MI013,,,,,,,,8,Mary Immaculate College,,,
938,Education,"Education, Mathematics and Business Studies",MI014,,,,,,,,8,Mary Immaculate College,,,
939,Interdisciplinary programmes and qualifications involving arts and humanities,Theology and Arts,MU001,,,,,,,,8,"Pontifical University, St Patrick's College",,avp,
940,Interdisciplinary programmes and qualifications involving arts and humanities,Theology,MU002,,,,,,,,8,"Pontifical University, St Patrick's College",,avp,
941,Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,,,,,,,,8,National College of Ireland (NCI),,,
942,Business and administration,Human Resource Management,NC005,,,,,,,,8,National College of Ireland (NCI),,,
943,Business and administration,Business,NC009,,,,,,,,8,National College of Ireland (NCI),,,
944,Social and behavioural sciences,Psychology,NC010,,,,,,,,8,National College of Ireland (NCI),,,
945,Business and administration,Marketing Practice,NC020,,,,,,,,8,National College of Ireland (NCI),,,
946,Business and administration,Accounting and Finance,NC022,,,,,,,,8,National College of Ireland (NCI),,,
947,Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,,,,,,,,8,National College of Ireland (NCI),,,
952,Education,Montessori Education,NM801,,,,,,,,8,St Nicholas Montessori College Ireland,,,
955,Social and behavioural sciences,"Social, Political and Community Studies",PC405,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,
956,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,
957,Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,,,,,,,,8,"Carlow College, St. Patrick`s",,avp,
958,Health,Medicine - Undergraduate Entry (HPAT required),RC001,,,,,,,,8,RCSI University of Medicine & Health Sciences,#,,
959,Health,Physiotherapy,RC004,,,,,,,,8,RCSI University of Medicine & Health Sciences,,,
960,Health,Pharmacy,RC005,,,,,,*,,8,RCSI University of Medicine & Health Sciences,,,
961,Health,Medicine - Graduate Entry (GAMSAT required),RC101,,,,,,,,8,RCSI University of Medicine & Health Sciences,#,,
970,Business and administration,Business,SG141,,,,,,,,8,"Institute of Technology, Sligo",,,
971,Business and administration,Business in International Marketing and Languages (French),SG142,,,,,,,,8,"Institute of Technology, Sligo",,,
972,Business and administration,Business in International Marketing and Languages (Spanish),SG144,,,,,,,,8,"Institute of Technology, Sligo",,,
973,Business and administration,Accounting,SG146,,,,,,,,8,"Institute of Technology, Sligo",,,
974,Personal services,Sport with Business,SG147,,,,,,,,8,"Institute of Technology, Sligo",,,
975,Personal services,Tourism with Event Management,SG148,,,,,,,,8,"Institute of Technology, Sligo",,,
980,Arts,Performing Arts,SG241,,,,,,,,8,"Institute of Technology, Sligo",,,
981,Welfare,Early Childhood Care and Education,SG242,,,,,,,,8,"Institute of Technology, Sligo",,,
982,Welfare,Social Care Practice,SG243,,,,,,,,8,"Institute of Technology, Sligo",,,
983,Arts,Fine Art,SG244,,,,,,,,8,"Institute of Technology, Sligo",#,,
984,Arts,Creative Design,SG245,,,,,,,,8,"Institute of Technology, Sligo",,,
985,Information and Communication Technologies (ICTs),Computing,SG246,,,,,,,,8,"Institute of Technology, Sligo",,,
986,Social and behavioural sciences,English and Psychology,SG247,,,,,,,,8,"Institute of Technology, Sligo",,,
987,Social and behavioural sciences,Sociology and Politics,SG248,,,,,,,,8,"Institute of Technology, Sligo",,,
988,Languages,Writing and Literature,SG249,,,,,,,,8,"Institute of Technology, Sligo",,,
989,Information and Communication Technologies (ICTs),Application Design and User Experience,SG250,,,,,,,,8,"Institute of Technology, Sligo",,,
990,Information and Communication Technologies (ICTs),Computing (Smart Technologies),SG251,,,,,,,,8,"Institute of Technology, Sligo",,,
991,Information and Communication Technologies (ICTs),Software Development,SG252,,,,,,,,8,"Institute of Technology, Sligo",,,
992,Information and Communication Technologies (ICTs),Computer Networks and Cloud Infrastructure,SG253,,,,,,,,8,"Institute of Technology, Sligo",,,
993,Languages,Writing and Literature Online,SG254,,,,,,,,8,"Institute of Technology, Sligo",,avp,
1005,Architecture and construction,Civil Engineering,SG342,,,,,,,,8,"Institute of Technology, Sligo",,,
1006,Architecture and construction,Quantity Surveying,SG343,,,,,,,,8,"Institute of Technology, Sligo",,,
1007,Architecture and construction,Construction Project Management and Applied Technology,SG346,,,,,,,,8,"Institute of Technology, Sligo",,,
1008,Architecture and construction,Architecture,SG347,,,,,,,,8,"Institute of Technology, Sligo",,,
1009,Architecture and construction,Interior Architecture and Design,SG348,,,,,,,,8,"Institute of Technology, Sligo",,,
1020,Hygiene and occupational health services,Occupational Safety and Health,SG442,,,,,,,,8,"Institute of Technology, Sligo",,,
1021,Health,Human Nutrition,SG443,,,,,,,,8,"Institute of Technology, Sligo",,,
1022,Biological and related sciences,Science Undenominated,SG444,,,,,,,,8,"Institute of Technology, Sligo",,,
1023,Physical sciences,Pharmaceutical Science with Drug Development,SG445,,,,,,,,8,"Institute of Technology, Sligo",,,
1024,Health,Health Science and Physical Activity,SG447,,,,,,,,8,"Institute of Technology, Sligo",,,
1025,Biological and related sciences,Forensic Investigation and Analysis,SG448,,,,,,,,8,"Institute of Technology, Sligo",,,
1026,Health,Medical Biotechnology,SG449,,,,,,,,8,"Institute of Technology, Sligo",,,
1027,Environment,Environmental Science with Ecology (Level 8),SG450,,,,,,,,8,"Institute of Technology, Sligo",,,
1054,Arts,"Animation, Visual Effects and Motion Design (Level 8)",TL801,,,,,,,,8,"Institute of Technology, Tralee",,,
1055,Arts,"TV, Radio and New Media (Level 8)",TL802,,,,,,,,8,"Institute of Technology, Tralee",,,
1056,Information and Communication Technologies (ICTs),Computing with Software Development,TL810,,,,,,,,8,"Institute of Technology, Tralee",,,
1057,Information and Communication Technologies (ICTs),Computing with Games Development,TL811,,,,,,,,8,"Institute of Technology, Tralee",,,
1058,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL815,,,,,,,,8,"Institute of Technology, Tralee",,,
1059,Personal services,Event Management (3 year programme),TL823,,,,,,,,8,"Institute of Technology, Tralee",,,
1060,Business and administration,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,,,,,,,,8,"Institute of Technology, Tralee",,,
1061,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Engineering,TL844,,,,,,,,8,"Institute of Technology, Tralee",,,
1062,Architecture and construction,Civil Engineering,TL845,,,,,,,,8,"Institute of Technology, Tralee",,,
1063,Manufacturing and processing,Manufacturing Engineering,TL847,,,,,,,,8,"Institute of Technology, Tralee",,,
1064,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science,TL848,,,,,,,,8,"Institute of Technology, Tralee",,,
1065,Environment,Wildlife Biology (Degree Award options),TL851,,,,,,,,8,"Institute of Technology, Tralee",,,
1066,Health,Pharmaceutical Science (Degree Award options),TL855,,,,,,,,8,"Institute of Technology, Tralee",,,
1067,Veterinary,Veterinary Bioscience,TL858,,,,,,,,8,"Institute of Technology, Tralee",,,
1068,Personal services,Health and Leisure (Degree Award options),TL871,,,,,,,,8,"Institute of Technology, Tralee",,,
1069,Personal services,Health and Leisure with Massage,TL872,,,,,,,,8,"Institute of Technology, Tralee",,,
1070,Personal services,Coaching and Sports Performance,TL873,,,,,,,,8,"Institute of Technology, Tralee",,,
1071,Welfare,Early Childhood Care and Education,TL880,,,,,,,,8,"Institute of Technology, Tralee",,,
1072,Welfare,Social Care,TL881,,,,,,,,8,"Institute of Technology, Tralee",,,
1073,Welfare,Counselling with Addiction - Mature applicants only,TL889,,,,,,,,8,"Institute of Technology, Tralee",#,,
1074,Health,General Nursing and Mature Applicants,TL890,,*,,,,,,8,"Institute of Technology, Tralee",,,
1075,Health,Mental Health Nursing and Mature Applicants,TL891,,,,,,,,8,"Institute of Technology, Tralee",,,
1076,Arts,Music,TR002,,,,,,,,8,Trinity College Dublin,,,
1077,Humanities (except languages),History,TR003,,,,,,,,8,Trinity College Dublin,,,
1078,Law,Law,TR004,,,,*,,*,,8,Trinity College Dublin,,,
1079,Humanities (except languages),Philosophy,TR005,,,,,,,,8,Trinity College Dublin,,,
1080,Social and behavioural sciences,Psychology,TR006,,,,*,,*,,8,Trinity College Dublin,,,
1081,Health,Clinical Speech and Language Studies,TR007,,,,,,,,8,Trinity College Dublin,,,
1082,Education,Music Education,TR009,,,,,,,,8,Trinity College Dublin,#,,
1083,Humanities (except languages),History and Political Science,TR012,,,,,,*,,8,Trinity College Dublin,,,
1084,Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",TR015,,,,,,,,8,Trinity College Dublin,,,
1085,Languages,Deaf Studies,TR016,,,,,,,,8,Trinity College Dublin,,,
1086,Law,Law and Business,TR017,,,,,,,,8,Trinity College Dublin,,,
1087,Law,Law and French,TR018,,,,,,,,8,Trinity College Dublin,,,
1088,Law,Law and German,TR019,,,,,,,,8,Trinity College Dublin,,,
1089,Law,Law and Political Science,TR020,,,,,,*,,8,Trinity College Dublin,,,
1090,Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,,,,,,,,8,Trinity College Dublin,,,
1091,Languages,Early and Modern Irish,TR022,,,,,,,,8,Trinity College Dublin,,,
1092,Languages,English Studies,TR023,,,,,,,,8,Trinity College Dublin,,,
1093,Humanities (except languages),European Studies,TR024,,,,,,,,8,Trinity College Dublin,,,
1094,Arts,Drama and Theatre Studies,TR025,,,,,,,,8,Trinity College Dublin,#,,
1095,Humanities (except languages),Ancient and Medieval History and Culture,TR028,,,,,,,,8,Trinity College Dublin,,,
1096,Social and behavioural sciences,Political Science and Geography,TR029,,,,,,,,8,Trinity College Dublin,,,
1097,Mathematics and statistics,Mathematics,TR031,,,,,,,,8,Trinity College Dublin,,,
1098,Engineering and engineering trades,Engineering,TR032,,,,*,,,,8,Trinity College Dublin,,,
1099,Information and Communication Technologies (ICTs),Computer Science,TR033,,,,,,,,8,Trinity College Dublin,,,
1100,Business and administration,Management Science and Information Systems Studies,TR034,,*,,,,*,,8,Trinity College Dublin,,,
1101,Physical sciences,Theoretical Physics,TR035,,,,,,,,8,Trinity College Dublin,,,
1102,Engineering and engineering trades,Engineering with Management,TR038,,,,,,,,8,Trinity College Dublin,,,
1103,Information and Communication Technologies (ICTs),Computer Science and Language,TR039,,,,,,,,8,Trinity College Dublin,,,
1104,Languages,Middle Eastern and European Languages and Cultures,TR040,,,,,,,,8,Trinity College Dublin,,,
1105,Humanities (except languages),Religion,TR041,,,,,,,,8,Trinity College Dublin,,,
1106,Arts,Film,TR042,,,,,,,,8,Trinity College Dublin,,,
1107,Humanities (except languages),History of Art and Architecture,TR043,,,,,,,,8,Trinity College Dublin,,,
1108,Health,Medicine (HPAT required),TR051,,*,,*,,,,8,Trinity College Dublin,#,,
1109,Health,Dental Science,TR052,,*,,*,,*,,8,Trinity College Dublin,,,
1110,Health,Physiotherapy,TR053,,*,,*,,*,,8,Trinity College Dublin,,,
1111,Health,Occupational Therapy,TR054,,,,,,,,8,Trinity College Dublin,,,
1112,Health,Radiation Therapy,TR055,,,,,,,,8,Trinity College Dublin,,,
1113,Health,Human Health and Disease,TR056,,,,,,,,8,Trinity College Dublin,,,
1114,Biological and related sciences,Biological and Biomedical Sciences,TR060,,*,,,,,,8,Trinity College Dublin,,,
1115,Physical sciences,Chemical Sciences,TR061,,,,,,,,8,Trinity College Dublin,,,
1116,Physical sciences,Geography and Geoscience,TR062,,,,,,,,8,Trinity College Dublin,,,
1117,Physical sciences,Physical Sciences,TR063,,*,,,,*,,8,Trinity College Dublin,,,
1118,Health,Pharmacy,TR072,,,,,,,,8,Trinity College Dublin,,,
1119,Business and administration,Global Business,TR080,,*,,,,*,,8,Trinity College Dublin,,,
1120,Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,,*,,*,,*,,8,Trinity College Dublin,,,
1121,Business and administration,Computer Science and Business,TR082,,,,,,,,8,Trinity College Dublin,,,
1122,Social and behavioural sciences,Sociology and Social Policy,TR083,,,,,,,,8,Trinity College Dublin,,,
1123,Welfare,Social Studies (Social Work),TR084,,*,,,,*,,8,Trinity College Dublin,,,
1124,Business and administration,Business Studies and French,TR085,,,,,,*,,8,Trinity College Dublin,,,
1125,Business and administration,Business Studies and German,TR086,,,,*,,,,8,Trinity College Dublin,,,
1126,Business and administration,Business Studies and Russian,TR087,,,,,,*,,8,Trinity College Dublin,,,
1127,Business and administration,Business Studies and Polish,TR089,,,,,,,,8,Trinity College Dublin,,,
1128,Business and administration,Business Studies and Spanish,TR090,,*,,,,*,,8,Trinity College Dublin,,,
1129,Health,General Nursing (Meath and St James`s),TR091,,,,,,,,8,Trinity College Dublin,,,
1130,Health,General Nursing (Adelaide School of Nursing),TR093,,,,,,,,8,Trinity College Dublin,#,,
1131,Health,Mental Health Nursing,TR095,,,,,,,,8,Trinity College Dublin,,,
1132,Health,Intellectual Disability Nursing,TR097,,,,,,,,8,Trinity College Dublin,,,
1133,Arts,Ancient History and Archaeology/Geography,TR111,,,,,,,,8,Trinity College Dublin,,,
1134,Arts,Ancient History and Archaeology/History,TR112,,,,,,,,8,Trinity College Dublin,,,
1135,Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,,,,,,,,8,Trinity College Dublin,,,
1136,Arts,Ancient History and Archaeology/Modern Language,TR114,,,,,,,,8,Trinity College Dublin,,,
1137,Arts,Ancient History and Archaeology/Religion,TR117,,,,,,,,8,Trinity College Dublin,,,
1138,Arts,Classical Civilisation/English Literature,TR166,,*,,,,,,8,Trinity College Dublin,,,
1139,Arts,Classical Civilisation/History of Art and Architecture,TR173,,,,,,,,8,Trinity College Dublin,,,
1140,Arts,Classical Civilisation/Modern Language,TR177,,,,,,,,8,Trinity College Dublin,,,
1141,Arts,Classical Civilisation/Philosophy,TR179,,,,,,,,8,Trinity College Dublin,,,
1142,Arts,Economics/Geography,TR198,,,,,,,,8,Trinity College Dublin,,,
1143,Arts,Economics/History,TR202,,,,,,,,8,Trinity College Dublin,,,
1144,Arts,Economics/Mathematics,TR207,,*,,,,*,,8,Trinity College Dublin,,,
1145,Arts,Economics/Modern Language,TR208,,,,,,,,8,Trinity College Dublin,,,
1146,Arts,Economics/Philosophy,TR209,,,,,,,,8,Trinity College Dublin,,,
1147,Arts,Economics/Sociology,TR212,,,,,,,,8,Trinity College Dublin,,,
1148,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/English Literature,TR228,,*,,,,*,,8,Trinity College Dublin,,,
1149,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,,,,,,,,8,Trinity College Dublin,,,
1150,Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,,,,,,,,8,Trinity College Dublin,,,
1151,Arts,Classical Languages/Modern Language,TR239,,,,,,,,8,Trinity College Dublin,,,
1152,Arts,English Literature/History,TR262,,,,,,,,8,Trinity College Dublin,,,
1153,Arts,English Literature/History of Art and Architecture,TR263,,*,,,,,,8,Trinity College Dublin,,,
1154,Arts,English Literature/Philosophy,TR269,,,,,,,,8,Trinity College Dublin,,,
1155,Arts,English Literature/Sociology,TR272,,*,,,,*,,8,Trinity College Dublin,,,
1156,Arts,English Literature/Drama Studies,TR276,#498,,,,#476,,,8,Trinity College Dublin,#,,
1157,Arts,English Literature/Modern Language,TR277,,*,,,,*,,8,Trinity College Dublin,,,
1158,Arts,Film/Drama Studies,TR311,#521,*,,,#521,*,,8,Trinity College Dublin,#,,
1159,Arts,Film/English Literature,TR312,,*,,,,*,,8,Trinity College Dublin,,,
1160,Arts,Film/Music,TR320,,*,,,,*,,8,Trinity College Dublin,#,,
1161,Arts,Geography/History,TR322,,,,,,,,8,Trinity College Dublin,,,
