code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
CK201,CK,Commerce,465* ,489,477,,*,,,500,499*,University College Cork (NUI),Business and administration
CK202,CK,Accounting,467 ,506,509,,,,,553,543*,University College Cork (NUI),Business and administration
CK203,CK,Business Information Systems,409 ,444,430,,,,,455,452,University College Cork (NUI),Information and Communication Technologies (ICTs)
CK204,CK,Finance,531 ,555,556,,,,,566*,566*,University College Cork (NUI),Business and administration
CK205,CK,Commerce (International) with French,409 ,473,445,,,,,465,,University College Cork (NUI),Business and administration
CK206,CK,Commerce (International) with German,408 ,446,420,418,,,,466,455,University College Cork (NUI),Business and administration
CK207,CK,Commerce (International) with Italian,408 ,425,388,,,,,423,418,University College Cork (NUI),Business and administration
CK208,CK,Commerce (International) with Hispanic Studies,431 ,455,402,,,,,488,486,University College Cork (NUI),Business and administration
CK209,CK,Commerce (International) with Irish,509 ,528,484,,,,,507,,University College Cork (NUI),Business and administration
CK211,CK,Commerce (International) with Chinese Studies,398 ,420,397,,,,,385,,University College Cork (NUI),Business and administration
CK212,CK,Economics (through Transformational Learning) 3 or,400 ,429,444,,,,,445,444,University College Cork (NUI),Social and behavioural sciences
CK213,CK,Food Marketing and Entrepreneurship,,,462,,,,,466,,University College Cork (NUI),Business and administration
CK214,CK,International Development,,,346,,,,,332,,University College Cork (NUI),Social and behavioural sciences
CK301,CK,Law (Pathways) -  3 or 4 years,476 ,519,507,499,,,,533,532*,University College Cork (NUI),Law
CK302,CK,Law and French,453 ,531,542,,,,,545,,University College Cork (NUI),Law
CK304,CK,Law and Irish,462 ,510,540,,,,,588,,University College Cork (NUI),Law
CK307,CK,Law and Business,522 ,554,556,,,,,589*,589*,University College Cork (NUI),Law
CK401,CK,Computer Science,402 ,456,468,,,,,503,495,University College Cork (NUI),Information and Communication Technologies (ICTs)
CK402,CK,Biological and Chemical Sciences,498 ,520,510,509,*,*,,555*,555,University College Cork (NUI),Biological and related sciences
CK404,CK,Biological  Earth and Environmental Sciences,412 ,451,467,,,,,500,495*,University College Cork (NUI),Biological and related sciences
CK405,CK,Genetics,476 ,496,487,,,,,543,,University College Cork (NUI),Biological and related sciences
CK406,CK,Chemical Sciences,457 ,488,485,472,,,,532,,University College Cork (NUI),Physical sciences
CK407,CK,Mathematical Sciences,531 ,578,566,565,,*,,566,,University College Cork (NUI),Mathematics and statistics
CK408,CK,Physics and Astrophysics,511 ,566,554,542,,,,566,,University College Cork (NUI),Physical sciences
CK409,CK,Industrial Physics - Offered jointly by UCC and CI,413 ,532,432,,,,,465,,University College Cork (NUI),Physical sciences
CK411,CK,Data Science and Analytics,509 ,542,510,,,,,531,,University College Cork (NUI),Information and Communication Technologies (ICTs)
CK412,CK,Agricultural Science,457 ,509,496,496,*,*,,506,,University College Cork (NUI),Agriculture
CK504,CK,Nutritional Sciences,492 ,509,518,,,,,555,554*,University College Cork (NUI),Biological and related sciences
CK505,CK,Food Science,444 ,477,441,440,,*,,463,,University College Cork (NUI),Manufacturing and processing
CK600,CK,Engineering,465 ,532,487,,,,,510,509*,University College Cork (NUI),Engineering and engineering trades
CK606,CK,Architecture - Offered jointly by UCC and CIT,465 ,496,484,476,,,,543,,University College Cork (NUI),Architecture and construction
CK701,CK,Medicine (Undergraduate Entry - HPAT required),#729 ,740,731,,,,#,#738,#737*,University College Cork (NUI),Health
