code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
GA882,GA,Psychiatric Nursing,346 ,370,367,,,,,369,,Galway-Mayo Institute of Technology,Health
GA885,GA,Outdoor Education,210 ,298,252,,,,,269,,Galway-Mayo Institute of Technology,Personal services
GA887,GA,History and Geography,228 ,296,244,,,,,201,,Galway-Mayo Institute of Technology,Humanities (except languages)
GA889,GA,Applied Social Care,260 ,297,266,,,,,265,,Galway-Mayo Institute of Technology,Welfare
GA890,GA,Early Childhood Education and Care,278 ,319,270,,,,,281,227,Galway-Mayo Institute of Technology,Education
GA891,GA,Geography and Outdoor Education,,,244,,,,,261,,Galway-Mayo Institute of Technology,Environment
GA892,GA,Community Development and Youth Work (Level 8),,,,,,,,,,Galway-Mayo Institute of Technology,
GA980,GA,Education (Design Graphics and Construction),376 ,389,377,,,,,410,,Galway-Mayo Institute of Technology,Education
GA981,GA,Furniture Design and Manufacture,271 ,350,,,,,,346,,Galway-Mayo Institute of Technology,
GA982,GA,Furniture Making and Architectural Woodworking,270 ,352,,,,,,360,,Galway-Mayo Institute of Technology,
GA983,GA,Furniture and Digital Manufacturing,,,,,,,,,,Galway-Mayo Institute of Technology,
GA984,GA,Furniture Design  Making and Technology - Common E,,,284,,,,,486,467,Galway-Mayo Institute of Technology,Arts
GA385,GA,Retail Management ,219 ,319,,,,,,,,Galway-Mayo Institute of Technology,
GC200,GC,Business,269 ,359,252,252,,,,269,242,Griffith College,Business and administration
GC201,GC,Accounting and Finance,251 ,388,303,303,,,,260,226,Griffith College,Business and administration
GC230,GC,Computing Science,228 ,327,335,325,,,,300,289,Griffith College,Information and Communication Technologies (ICTs)
GC300,GC,Business,251 ,302,429,,,,,264,264,Griffith College,Business and administration
GC301,GC,Accounting and Finance,307 ,314,253,253,,,,,251,Griffith College,Business and administration
GC302,GC,Business - HRM,269 ,269,,,,,,377,377,Griffith College,Business and administration
GC307,GC,Business (Marketing),,,,,,,,289,270,Griffith College,
GC400,GC,Business,246 ,297,248,248,,,,250,228,Griffith College,Business and administration
GC401,GC,Accounting and Finance,181 ,309,240,227,,,,242,242,Griffith College,Business and administration
GC402,GC,Business (HRM),217 ,290,264,236,,,,,,Griffith College,Business and administration
GC403,GC,Law,225 ,308,244,228,,,,245,242,Griffith College,Law
GC407,GC,Business (Marketing),246 ,330,280,280,,,,264,264,Griffith College,Business and administration
GC430,GC,Computing Science,217 ,269,252,220,,,,251,251,Griffith College,Information and Communication Technologies (ICTs)
GC450,GC,Communications and Media Production,227 ,307,254,254,,,,225,225,Griffith College,Journalism and information
GC462,GC,Design Communication (portfolio),,,,,,,#,#300,,Griffith College,Arts
GC489,GC,Interior Architecture (portfolio),#267 ,361,254,,,,#,#288,#274,Griffith College,Arts
GC494,GC,Fashion Design (portfolio),#,,337,217,,,#,#351,,Griffith College,Arts
GC250,GC,Communications and Media Production,,,,,,,,,,Griffith College,Journalism and information
GC305,GC,International Hospitality Management,327 ,327,253,253,,,,,,Griffith College,Personal services
GC405,GC,International Hospitality Management (Dublin) ,254 ,272,,,,,,,,Griffith College,
GY101,GY,Arts (Joint-Honours),300 ,374,300,,,,,327,326,"National University of Ireland, Galway",Arts
GY104,GY,BSc (Psychology),507 ,529,523,520,,,,564,555,"National University of Ireland, Galway",Social and behavioural sciences
GY105,GY,Arts (History),318 ,358,301,,,,,357,,"National University of Ireland, Galway",Humanities (except languages)
GY109,GY,Arts (Mathematics and Education),411 ,487,403,,,,,413,,"National University of Ireland, Galway",Education
GY110,GY,Arts (Children and Youth Studies - options),382 ,409,357,,,,,387,,"National University of Ireland, Galway",Social and behavioural sciences
GY111,GY,Arts (English and Creative Writing),402 ,472,330,,,,,421,420,"National University of Ireland, Galway",Arts
GY113,GY,Arts with Human Rights,338 ,409,368,,,,,413,,"National University of Ireland, Galway",Social and behavioural sciences
GY115,GY,Arts with Performing Arts Studies,328 ,367,387,,,,,300,,"National University of Ireland, Galway",Arts
GY118,GY,Arts (Drama  Theatre and Performance Studies),410 ,451,451,,,,,453,430,"National University of Ireland, Galway",Arts
GY119,GY,Arts (Journalism),410 ,475,400,,,,,484,473,"National University of Ireland, Galway",Journalism and information
GY122,GY,Na Dána (Cumarsáid agus Gaeilge),308 ,399,361,,,,,410,,"National University of Ireland, Galway",Arts
GY123,GY,Applied Social Sciences,357 ,388,358,,,,,419,,"National University of Ireland, Galway",Social and behavioural sciences
GY125,GY,Arts (Digital Arts and Technology),324 ,379,328,,,,,403,,"National University of Ireland, Galway",Arts
GY127,GY,Arts (Film and Digital Media),387 ,435,401,,,,,430,421,"National University of Ireland, Galway",Arts
GY128,GY,Arts (Global Languages),370 ,440,352,,,,,346,,"National University of Ireland, Galway",Languages
GY129,GY,Arts (Global Experience),408 ,477,420,,,,,465,,"National University of Ireland, Galway",Arts
GY130,GY,Arts (Music),400 ,444,408,,,,,462,,"National University of Ireland, Galway",Arts
GY132,GY,Government (Politics  Economics and Law),402 ,444,407,,,,,465,451,"National University of Ireland, Galway",Social and behavioural sciences
GY133,GY,Education (Computer Science and Mathematical Studi,401 ,466,422,,,,,454,,"National University of Ireland, Galway",Education
GY134,GY,Geography and Geosystems,,,410,,,,,425,,"National University of Ireland, Galway",Physical sciences
GY135,GY,Arts (Global Media),,,,,,,,442,,"National University of Ireland, Galway",
GY136,GY,Na Dána (Léann Teanga - options),,,,,,,,526,,"National University of Ireland, Galway",
GY201,GY,Commerce,420 ,453,433,,,,,476,,"National University of Ireland, Galway",Business and administration
GY202,GY,Commerce (International) with French,484 ,513,484,,,,,520,,"National University of Ireland, Galway",Business and administration
GY203,GY,Commerce (International) with German,489 ,541,489,,,,,518,,"National University of Ireland, Galway",Business and administration
GY204,GY,Commerce (International) with Spanish,484 ,500,495,,,,,506,,"National University of Ireland, Galway",Business and administration
GY206,GY,Business Information Systems (Work Placement and O,431 ,445,465,,,,,509,,"National University of Ireland, Galway",Business and administration
GY207,GY,Commerce (Accounting) including optional Global Ex,486 ,510,509,,,,,543,,"National University of Ireland, Galway",Business and administration
GY208,GY,Commerce (Gaeilge),473 ,488,473,,,,,508,,"National University of Ireland, Galway",Business and administration
GY209,GY,Commerce (Global Experience),509 ,531,530,,,,,551,,"National University of Ireland, Galway",Business and administration
GY250,GY,Law and Business,436 ,467,487,,,,,510,,"National University of Ireland, Galway",Law
GY251,GY,Law (BCL),473 ,498,499,,,,,542,,"National University of Ireland, Galway",Law
GY252,GY,Law (BCL) and Human Rights,510 ,521,520,,,,,565,,"National University of Ireland, Galway",Law
GY253,GY,Law and Taxation,,,509,,,,,506,,"National University of Ireland, Galway",Law
GY254,GY,Law (BCL)  Criminology and Criminal Justice,,,530,,,,,548,,"National University of Ireland, Galway",Law
GY261,GY,Business Studies in International Hotel Management,#486 ,615,497,,,,#,#503,,"National University of Ireland, Galway",Business and administration
GY262,GY,Commerce in International Hotel Management (interv,#671 ,726,681,,,,#,#709,,"National University of Ireland, Galway",Business and administration
GY301,GY,Science,400 ,456,433,432,,,,489,488,"National University of Ireland, Galway",Biological and related sciences
GY303,GY,Biomedical Science,533 ,566,556,,,,,613,,"National University of Ireland, Galway",Biological and related sciences
GY304,GY,Biotechnology,473 ,507,465,,,,,498,495,"National University of Ireland, Galway",Engineering and engineering trades
GY308,GY,Environmental Science,413 ,440,408,,,,,431,430,"National University of Ireland, Galway",Environment
GY309,GY,Financial Mathematics and Economics,454 ,498,487,,,,,509,,"National University of Ireland, Galway",Mathematics and statistics
GY310,GY,Marine Science,409 ,456,419,,,,,467,,"National University of Ireland, Galway",Physical sciences
GY313,GY,Environmental Health and Safety,402 ,435,412,,,,,412,,"National University of Ireland, Galway",Hygiene and occupational health services
GY314,GY,Earth and Ocean Sciences,402 ,425,403,,,,,422,,"National University of Ireland, Galway",Physical sciences
GY318,GY,Biopharmaceutical Chemistry,510 ,532,509,,,,,555,,"National University of Ireland, Galway",Biological and related sciences
GY319,GY,Mathematical Science,456 ,531,476,,,,,543,,"National University of Ireland, Galway",Mathematics and statistics
GY320,GY,Physics (Degree options: Applied Astrophysics Biom,401 ,487,402,,,,,465,,"National University of Ireland, Galway",Physical sciences
GY321,GY,Genetics and Genomics,,,508,,,,,532,,"National University of Ireland, Galway",Biological and related sciences
GY322,GY,Agricultural Sciences,,,,,,,,485,,"National University of Ireland, Galway",
GY350,GY,Computer Science and Information Technology,425 ,466,403,,,,,495,,"National University of Ireland, Galway",Information and Communication Technologies (ICTs)
GY401,GY,Engineering (Undenominated),444 ,499,465,,,,,522,520,"National University of Ireland, Galway",Engineering and engineering trades
GY402,GY,Civil Engineering,509 ,543,455,,,,,533,521,"National University of Ireland, Galway",Architecture and construction
GY405,GY,Mechanical Engineering,443 ,499,454,,,,,541,,"National University of Ireland, Galway",Engineering and engineering trades
GY406,GY,Electronic and Computer Engineering,509 ,547,510,,,,,555,,"National University of Ireland, Galway",Engineering and engineering trades
GY408,GY,Biomedical Engineering,519 ,543,509,,,,,554,,"National University of Ireland, Galway",Engineering and engineering trades
GY410,GY,Project and Construction Management,434 ,464,403,,,,,431,,"National University of Ireland, Galway",Architecture and construction
GY413,GY,Energy Systems Engineering,532 ,589,502,,,,,509,,"National University of Ireland, Galway",Engineering and engineering trades
GY414,GY,Electrical and Electronic Engineering,454 ,487,405,,,,,433,,"National University of Ireland, Galway",Engineering and engineering trades
GY501,GY,Medicine (five year/six year course  HPAT required,#726* ,731,728,,*,,#,#737*,#737*,"National University of Ireland, Galway",Health
GY502,GY,Occupational Therapy,532 ,543,555,,,,,601,,"National University of Ireland, Galway",Health
GY503,GY,Speech and Language Therapy,529 ,543,543,,,,,578,,"National University of Ireland, Galway",Health
GY504,GY,Podiatric Medicine,434 ,463,443,,,,,531,526,"National University of Ireland, Galway",Health
GY515,GY,General Nursing (Galway and Portiuncula),442 ,466,476,473,,,,502,496,"National University of Ireland, Galway",Health
GY516,GY,Mental Health Nursing,388 ,413,440,,,,,475,441,"National University of Ireland, Galway",Health
GY517,GY,Midwifery,429 ,468,495,,,,,520,509,"National University of Ireland, Galway",Health
GY107,GY,Na Dána (Gaeilge agus Léann an Aistriúcháin),330 ,397,409,,,,,,,"National University of Ireland, Galway",Languages
GY112,GY,Arts with Film Studies,338 ,370,321,,,,,,,"National University of Ireland, Galway",Arts
GY120,GY,"Arts (Child, Youth and Family: Policy and Practice)",309 ,346,350,,,,,,,"National University of Ireland, Galway",Social and behavioural sciences
GY121,GY,Arts (Children`s Studies),356 ,389,356,,,,,,,"National University of Ireland, Galway",Social and behavioural sciences
GY124,GY,Arts (Arts with Data Science),434 ,466,454,,,,,,,"National University of Ireland, Galway",Information and Communication Technologies (ICTs)
GY126,GY,Arts (English and Media Studies),418 ,451,391,,,,,,,"National University of Ireland, Galway",Languages
GY131,GY,Arts (History and Globalisation Studies),340 ,431,360,,,,,,,"National University of Ireland, Galway",Humanities (except languages)
ID001,ID,Accounting and Finance,229 ,291,203,,,,,,,ICD Business School,Business and administration
ID002,ID,Business Studies,285 ,366,294,,,,,,,ICD Business School,Business and administration
ID003,ID,Business Studies with Chinese,,,,,,,,,,ICD Business School,
LC110,LC,Art and Design (Common Entry  portfolio),#734 ,918,740,,,,#,#794,,Limerick Institute of Technology,Arts
LC114,LC,Fashion and Textiles for Product and Costume (port,#900 ,988,880,,,,#,#914,,Limerick Institute of Technology,Arts
LC115,LC,Art and Design Teacher Education (LIT and UL  port,,,942,,,,#,#993,,Limerick Institute of Technology,Education
LC220,LC,Digital Marketing,254 ,288,262,,,,,263,,Limerick Institute of Technology,Business and administration
LC223,LC,Law and Taxation,308 ,372,307,,,,,331,,Limerick Institute of Technology,Law
LC224,LC,Accounting and Finance,299 ,382,300,,,,,300,,Limerick Institute of Technology,Business and administration
LC225,LC,Marketing and Management,298 ,337,298,,,,,298,,Limerick Institute of Technology,Business and administration
LC226,LC,Enterprise and Innovation,216 ,298,234,234,,,,255,,Limerick Institute of Technology,Business and administration
LC233,LC,Software Development,300 ,371,272,,,,,280,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC234,LC,Immersive Digital Media and Spatial Computing,219 ,288,225,,,,,226,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC236,LC,Internet Systems Development,298 ,319,262,260,,,,260,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC239,LC,Computer Networks and Systems Management,335 ,347,307,,,,,317,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC241,LC,Construction Management,276 ,303,255,,,,,326,,Limerick Institute of Technology,Architecture and construction
LC242,LC,Property Valuation and Management,292 ,328,282,,,,,308,,Limerick Institute of Technology,Architecture and construction
LC243,LC,Quantity Surveying,281 ,360,294,,,,,278,,Limerick Institute of Technology,Architecture and construction
LC248,LC,Built Environment (Common Entry),307 ,350,288,,,,,300,,Limerick Institute of Technology,Architecture and construction
LC252,LC,Civil Engineering Management,281 ,331,270,,,,,264,,Limerick Institute of Technology,Architecture and construction
LC263,LC,Medical Technology,282 ,359,294,,,,,391,,Limerick Institute of Technology,Health
LC265,LC,Forensic and Pharmaceutical Sciences,335 ,368,413,,,,,498,,Limerick Institute of Technology,Physical sciences
LC266,LC,Drug and Medicinal Product Analysis,236 ,299,262,,,,,252,,Limerick Institute of Technology,Environment
LC275,LC,Electrical Engineering,288 ,340,298,,,,,361,347,Limerick Institute of Technology,Engineering and engineering trades
LC288,LC,Mechanical Engineering,307 ,360,347,346,,,,378,369,Limerick Institute of Technology,Engineering and engineering trades
LC289,LC,Precision Engineering,280 ,369,291,,,,,261,,Limerick Institute of Technology,Engineering and engineering trades
LC292,LC,Social Care Work,360 ,389,367,,,,,374,,Limerick Institute of Technology,Welfare
LC293,LC,Business Studies with Travel and Tourism Managemen,299 ,326,307,,,,,271,264,Limerick Institute of Technology,Personal services
LC294,LC,Business Studies with Event Management,271 ,300,279,,,,,279,,Limerick Institute of Technology,Personal services
LC295,LC,Business Studies with Sports Management,263 ,298,252,,,,,262,,Limerick Institute of Technology,Business and administration
LC297,LC,Community and Addiction Studies,217 ,269,235,,,,,272,262,Limerick Institute of Technology,Social and behavioural sciences
LC320,LC,Business,337 ,378,346,,,,,381,,Limerick Institute of Technology,Business and administration
LC330,LC,Business with Computing,298 ,326,297,,,,,328,308,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC340,LC,Interior Design,298 ,349,350,,,,,391,368,Limerick Institute of Technology,Arts
LC362,LC,Biotechnology and Biopharmaceutical Sciences,379 ,402,413,,,,,429,,Limerick Institute of Technology,Biological and related sciences
LC371,LC,Creative Broadcast and Film Production,298 ,339,309,,,,,325,310,Limerick Institute of Technology,Arts
LC372,LC,Music Technology and Production,321 ,369,325,,,,,377,,Limerick Institute of Technology,Arts
LC374,LC,Renewable and Electrical Energy Engineering,317 ,368,318,,,,,337,319,Limerick Institute of Technology,Engineering and engineering trades
LC375,LC,Industrial Automation and Robotic Systems,321 ,368,317,,,,,309,,Limerick Institute of Technology,Engineering and engineering trades
LC376,LC,Electronic Engineering with Computer Systems,308 ,346,318,,,,,357,,Limerick Institute of Technology,Engineering and engineering trades
LC380,LC,Automotive Engineering and Transport Management,282 ,329,303,298,,,,298,,Limerick Institute of Technology,Transport services
LC392,LC,Business Studies in Beauty and Spa Management,217 ,318,236,,,,,328,317,Limerick Institute of Technology,Personal services
LC393,LC,Early Childhood Education and Care,260 ,309,236,,,,,309,276,Limerick Institute of Technology,Welfare
LC402,LC,Social Care Work,209 ,290,225,,,,,228,,Limerick Institute of Technology,Welfare
LC408,LC,Environmental Science and Climate,262 ,346,279,,,,,279,,Limerick Institute of Technology,Environment
LC416,LC,Business,,,274,,,,,260,,Limerick Institute of Technology,Business and administration
LC418,LC,Computing - Games Design and Development,271 ,318,270,,,,,260,256,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC422,LC,Applied Strength and Conditioning,288 ,333,298,,,,,289,,Limerick Institute of Technology,Personal services
LC502,LC,Game Art and Design (portfolio),#838 ,950,852,,,,#,#841,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC517,LC,Creative Media and Design,229 ,273,234,,,,,279,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC518,LC,Digital Animation Production (portfolio),#816 ,962,808,,,,#,#807,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC612,LC,Social Care Work,319 ,338,320,,,,,309,,Limerick Institute of Technology,Welfare
LC401,LC,Early Childhood Education and Care,298 ,387,297,,,,,,,Limerick Institute of Technology,Welfare
LC414,LC,Data Analytics and Cyber Security,,,236,,,,,,,Limerick Institute of Technology,Information and Communication Technologies (ICTs)
LC434,LC,Environmental Science and Agriculture,278 ,347,297,,,,,,,Limerick Institute of Technology,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
LC613,LC,Early Childhood Education and Care,346 ,388,242,,,,,,,Limerick Institute of Technology,Welfare
LC411,LC,Marketing and Management (Thurles) ,226 ,300,,,,,,,,Limerick Institute of Technology,
LM002,LM,Arts,329 ,388,348,,,,,360*,360,University of Limerick,Humanities (except languages)
LM019,LM,Social Sciences,,,,,,,,451,,University of Limerick,
LM020,LM,Law and Accounting,436 ,476,465,,,,,474,,University of Limerick,Law
LM026,LM,Performing Arts (audition format TBC),#307 ,367,303,,,,#,#329,,University of Limerick,Arts
LM028,LM,Criminal Justice,387 ,409,418,,,,,420,,University of Limerick,Law
LM029,LM,Law Plus,473 ,499,490,,,,,530,,University of Limerick,Law
LM038,LM,Psychology and Sociology,478 ,489,500,,,,,530,,University of Limerick,Social and behavioural sciences
LM039,LM,Journalism and Digital Communication,388 ,430,402,,,,,432,,University of Limerick,Journalism and information
LM040,LM,European Studies,350 ,462,369,,,,,409,,University of Limerick,Humanities (except languages)
LM044,LM,Applied Languages,404 ,473,442,,,,,429,,University of Limerick,Languages
LM050,LM,Business Studies (options),419 ,455,431,,,,,451,,University of Limerick,Business and administration
LM056,LM,International Business,511 ,543,528,,,,,555*,,University of Limerick,Business and administration
LM058,LM,Financial Mathematics,434 ,543,403,,,,,468,,University of Limerick,Mathematics and statistics
LM063,LM,Technology Management,372 ,409,379,,,,,410,,University of Limerick,Information and Communication Technologies (ICTs)
LM066,LM,Environmental Science,,,,,,,,430,,University of Limerick,
LM068,LM,Food Science and Health,400 ,430,421,,,,,464*,,University of Limerick,Manufacturing and processing
LM076,LM,Product Design and Technology (portfolio required),#402 ,466,408,,,,#,#401,,University of Limerick,Manufacturing and processing
LM077,LM,Aeronautical Engineering,469 ,531,520,,,,,567,,University of Limerick,Engineering and engineering trades
LM082,LM,Construction Management and Engineering,368 ,404,398,,,,,446*,,University of Limerick,Manufacturing and processing
LM089,LM,Sport and Exercise Sciences,441 ,466,474,,,,,498*,,University of Limerick,Personal services
LM090,LM,Physical Education with concurrent Teacher Educati,498* ,520,532,,*,,,552,544*,University of Limerick,Education
LM091,LM,Languages with concurrent Teacher Education,,,517,,,,,506,,University of Limerick,Education
LM092,LM,Science with Teacher Ed (Biology with Physics/Chem,478 ,509,507,,,,,521,,University of Limerick,Education
LM093,LM,Equine Science,338 ,381,339,,,,,367,,University of Limerick,Biological and related sciences
LM094,LM,Materials and Architectural Technology with concur,405 ,433,440,,,,,475,,University of Limerick,Education
LM095,LM,Materials and Engineering Technology with concurre,358 ,409,367,,,,,425,,University of Limerick,Education
LM096,LM,Science with Teacher Ed (Physical Sciences with Ch,382 ,422,405,,,,,454,,University of Limerick,Education
LM097,LM,Mathematics and Computer Science with concurrent T,,,402,,,,,465,,University of Limerick,Mathematics and statistics
LM099,LM,Architecture,#419 ,473,498,,,,#,520,,University of Limerick,Architecture and construction
LM100,LM,Physiotherapy,565* ,577,589,,*,,,613*,,University of Limerick,Health
LM101,LM,Medicine  - Graduate Entry (GAMSAT required),#55* ,57,55,,*,,#,#57*,,University of Limerick,Health
LM102,LM,Psychology,495 ,519,509,,,,,534,,University of Limerick,Social and behavioural sciences
LM103,LM,Paramedic Studies (Full B/Provisional C1 Drivers L,#313 ,403,392,,,,#,#429,,University of Limerick,Health
LM105,LM,Exercise and Health Fitness Management,,,,,,,,441,,University of Limerick,
LM115,LM,Chemical and Biochemical Engineering,456 ,520,454,,,,,476,,University of Limerick,Physical sciences
LM116,LM,Engineering (Biomedical/Civil/Design and Manufactu,434 ,498,476,,*,,,498*,,University of Limerick,Engineering and engineering trades
LM118,LM,Electronic and Computer Engineering,401 ,498,403,,,,,445,,University of Limerick,Engineering and engineering trades
LM121,LM,Computer Science (Computer Systems/Games Dev/Cyber,352 ,420,351,,,,,402,,University of Limerick,Information and Communication Technologies (ICTs)
LM122,LM,Creative Media and Interaction Design (Digital Des,330 ,430,327,,,,,382,,University of Limerick,Information and Communication Technologies (ICTs)
LM123,LM,Biological and Chemical Sc. (Biosci/Envir Sci/Ind,412 ,455,441,,*,,,498*,,University of Limerick,Biological and related sciences
LM124,LM,Mathematics (Math Science/Maths and Physics/Econom,427 ,521,437,,,,,455,,University of Limerick,Mathematics and statistics
LM125,LM,Physics (Applied Physics or Mathematics and Physic,405 ,509,404,,,,,489,,University of Limerick,Physical sciences
LM150,LM,General Nursing,440* ,463,475,,*,,,498*,487,University of Limerick,Health
LM152,LM,Mental Health Nursing,388 ,418,419,,*,,,478,466,University of Limerick,Health
LM154,LM,Intellectual Disability Nursing,381* ,408,420,,,,,462,443,University of Limerick,Health
LM156,LM,Midwifery,429 ,444,469,,,,,521*,508,University of Limerick,Health
LY108,LY,Business - Accounting,318 ,399,309,,,,,312,,Letterkenny Institute of Technology,Business and administration
LY118,LY,Business,287 ,352,290,,,,,288,,Letterkenny Institute of Technology,Business and administration
LY128,LY,Marketing with Online Technologies,,,,,,,,261,261,Letterkenny Institute of Technology,
LY208,LY,Law,300 ,359,300,,,,,300,290,Letterkenny Institute of Technology,Law
LY228,LY,Sports and Exercise - Common Entry,278 ,330,300,,,,,290,,Letterkenny Institute of Technology,Personal services
LY408,LY,Design - Common Entry,#307 ,368,320,,,,#,#301,,Letterkenny Institute of Technology,Arts
LY508,LY,Fire Safety Engineering,270 ,299,276,,,,,283,,Letterkenny Institute of Technology,Architecture and construction
LY518,LY,Quantity Surveying,307 ,368,301,,,,,304,,Letterkenny Institute of Technology,Architecture and construction
LY528,LY,Construction Management,267 ,291,271,,,,,262,,Letterkenny Institute of Technology,Architecture and construction
LY538,LY,Architectural Technology,,,,,,,,234,234,Letterkenny Institute of Technology,
LY608,LY,Mechanical Engineering,304 ,333,300,,,,,300,,Letterkenny Institute of Technology,Engineering and engineering trades
LY618,LY,Electronic Engineering,307 ,339,312,,,,,321,,Letterkenny Institute of Technology,Engineering and engineering trades
LY708,LY,Applied Computing,300 ,348,306,,,,,320,,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs)
LY748,LY,Computer Science,,,317,317,,,,316,,Letterkenny Institute of Technology,Information and Communication Technologies (ICTs)
LY818,LY,Science - Common Entry,302 ,371,303,,,,,302,,Letterkenny Institute of Technology,Biological and related sciences
LY828,LY,Agriculture - Common Entry,300 ,342,307,,,,,308,300,Letterkenny Institute of Technology,Agriculture
LY908,LY,General Nursing,383 ,390,400,,*,,,429*,,Letterkenny Institute of Technology,Health
LY918,LY,Psychiatric Nursing,291* ,332,357,,*,,,367*,,Letterkenny Institute of Technology,Health
LY928,LY,Intellectual Disability Nursing,288 ,299,326,,*,,,357,,Letterkenny Institute of Technology,Health
LY968,LY,Early Childhood Care  Health and Education,300 ,336,303,,,,,288,,Letterkenny Institute of Technology,Welfare
LY978,LY,Health and Social Care - Common Entry,260 ,299,280,,,,,279,,Letterkenny Institute of Technology,Health
LY218,LY,Business - with Spanish/Irish options ,298 ,367,,,,,,,,Letterkenny Institute of Technology,
MH001,MH,Education - Primary Teaching (Froebel),496* ,520,507,,,,,564,,Maynooth University,Education
MH002,MH,Education - Primary Teaching - Gaeltacht Applicant,#,441*,,,,,#,,,Maynooth University,Education
MH003,MH,Early Childhood - Teaching and Learning (full-time,,,,,,,,381,,Maynooth University,
MH101,MH,Arts,316 ,369,318,,,,,338,336,Maynooth University,Humanities (except languages)
MH103,MH,Music,#, 367,#,,,,#,#,,Maynooth University,Arts
MH106,MH,Psychology - 3 years,495 ,499,521,,,,,554,,Maynooth University,Social and behavioural sciences
MH107,MH,Social Science,326 ,349,346,,,,,390,,Maynooth University,Social and behavioural sciences
MH109,MH,Media Studies,317 ,377,316,,,,,324,,Maynooth University,Arts
MH116,MH,Community and Youth Work (Full-Time),#, 271,#,,,,#,#,,Maynooth University,Welfare
MH201,MH,Science,350 ,392,360,,,,,401,400,Maynooth University,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
MH202,MH,Biotechnology,429 ,446,455,,,,,490,489,Maynooth University,Biological and related sciences
MH203,MH,Biological and Geographical Sciences,,,430,,,,,451,,Maynooth University,Biological and related sciences
MH204,MH,Physics with Astrophysics,420 ,488,422,,,,,422,,Maynooth University,Physical sciences
MH206,MH,Theoretical Physics and Mathematics,498 ,566,510,,,,,521,,Maynooth University,Mathematics and statistics
MH207,MH,Data Science,434 ,466,445,,,,,444,,Maynooth University,Information and Communication Technologies (ICTs)
MH208,MH,Biological and Biomedical Sciences,451 ,476,498,,,,,543,,Maynooth University,Biological and related sciences
MH209,MH,Psychology (through Science) - 4 years,473 ,485,498,,,,,529,,Maynooth University,Social and behavioural sciences
MH210,MH,Pharmaceutical and Biomedical Chemistry,446 ,466,487,,,,,510,,Maynooth University,Physical sciences
MH212,MH,Science|Maths and Computer Science|Mathematics (wi,444 ,476,422,,,,,452,443,Maynooth University,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
MH304,MH,Engineering (Computer/Electronic/Communications),371 ,423,333,333,,,,351,351,Maynooth University,Engineering and engineering trades
MH305,MH,Product Design,358 ,411,357,,,,,326,,Maynooth University,Engineering and engineering trades
MH306,MH,Robotics and Intelligent Devices,361 ,424,361,,,,,362,,Maynooth University,Engineering and engineering trades
MH401,MH,Finance (options),352 ,392,357,,,,,370,,Maynooth University,Business and administration
MH402,MH,Quantitative Finance,476 ,487,476,,,,,476,,Maynooth University,Business and administration
MH403,MH,Accounting and Finance,402 ,432,422,,,,,424,,Maynooth University,Business and administration
MH404,MH,Business (options),400 ,429,430,,,,,441,,Maynooth University,Business and administration
MH407,MH,Business and Accounting,401 ,420,420,,,,,423,,Maynooth University,Business and administration
MH411,MH,Entrepreneurship,358 ,388,371,,,,,378,,Maynooth University,Business and administration
MH501,MH,LLB Law - four year Single Major Law programme,451 ,476,473,,,,,507,,Maynooth University,Law
MH502,MH,Law (options),410 ,442,451,,,,,465,,Maynooth University,Law
MH601,MH,Computer Science through Arts (options),342 ,369,352,,,,,381,,Maynooth University,Information and Communication Technologies (ICTs)
MH602,MH,Computer Science through Science (options),357 ,413,351,,,,,400,,Maynooth University,Information and Communication Technologies (ICTs)
MH603,MH,Computational Thinking,520 ,543,532,,,,,520,,Maynooth University,Information and Communication Technologies (ICTs)
MH801,MH,Early Childhood - Teaching and Learning (part-time,347 ,358,327,,,,,AQA,AQA,Maynooth University,Education
MH802,MH,Community and Youth Work (part-time  in service),#,,#,#,,,#,,#,Maynooth University,Welfare
MH803,MH,Local Studies/Community Studies (part-time  evenin,#,,#,#,,,#,,#,Maynooth University,Social and behavioural sciences
MH405,MH,Equine Business,357 ,398,357,,,,,,,Maynooth University,Business and administration
MI001,MI,Contemporary and Applied Theatre Studies,345 ,381,375,,,,,209,,Mary Immaculate College,Arts
MI002,MI,Arts,300 ,378,300,281,,,,280,,Mary Immaculate College,Arts
MI004,MI,Education - Primary Teaching - International,,,577,,,,,589,,Mary Immaculate College,Education
