,2021,,,,,,,,,2020,,,,,,,,eos,mid,,,,,
COURSE CODE2,COURSE TITLE,r1,r2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
CW908,Business (options),272,,,,,,,,Welfare,Social Science (Youth and Community Work) - 3 years,CK114,,,,,777,,,8,University College Cork (NUI),#,,
CW938,Business with Law,270,,,,,,,,Welfare,Social Work - Mature Applicants only,CK115,,,,,999,,,8,University College Cork (NUI),,,
CW948,Accounting,319,,,,,,,,Arts,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),CK118,336,,,,336,,378,8,University College Cork (NUI),,,
PC405,Social  Political and Community Studies,263,235,,,,,,,Social and behavioural sciences,Applied Psychology,CK120,533,*,532,*,531,*,555,8,University College Cork (NUI),,,
PC410,Arts and Humanities (fulfils Teaching Council requ,262,230,,,,,,,Social and behavioural sciences,Psychology and Computing - 3 or 4 years (Work Experience Pathway),CK121,466,,,,466,,496,8,University College Cork (NUI),,,
PC411,English and History (fulfils Teaching Council requ,243,224,,,,,,,Social and behavioural sciences,Government and Political Science,CK122,337,,328,,326,,403,8,University College Cork (NUI),,,
CR105,Chemical and Biopharmaceutical Engineering,443,,,,,,,,Humanities (except languages),Anthropology,CK123,308,,,,308,,410,8,University College Cork (NUI),,,
CR106,Software Development,431,,,,,,,,Education,Education - Gaeilge,CK124,463,,462,,452,*,495,8,University College Cork (NUI),,,
CR108,Mechanical Engineering,434,,,,,,,,Education,Sports Studies and Physical Education,CK125,510,*,509,*,509,*,532,8,University College Cork (NUI),,,
CR109,Structural Engineering,396,,,,,,,,Business and administration,Commerce,CK201,477,*,,,477,*,509,8,University College Cork (NUI),,,
CR110,Automotive Business Management and Technology,336,,,,,,,,Business and administration,Accounting,CK202,509,,,,509,,542,8,University College Cork (NUI),,,
CR112,Creative Digital Media at CIT Crawford College of,390,,,,,,,,Information and Communication Technologies (ICTs),Business Information Systems,CK203,430,,,,430,,467,8,University College Cork (NUI),,,
CR116,Computer Systems,365,,,,,,,,Business and administration,Finance,CK204,556,,,,556,,590,8,University College Cork (NUI),,,
CR121,Music at CIT Cork School of Music,#904,#904,,,,,,,Business and administration,Commerce (International) with French,CK205,445,,,,445,,495,8,University College Cork (NUI),,,
CR125,Popular Music at CIT Cork School of Music,#1028,,,,,,,,Business and administration,Commerce (International) with German,CK206,420,,418,,418,,476,8,University College Cork (NUI),,,
CR130,Musical Theatre at CIT Cork School of Music,#525,,,,,,,,Business and administration,Commerce (International) with Italian,CK207,388,,,,388,,455,8,University College Cork (NUI),,,
CR150,Business Information Systems,350,,,,,,,,Business and administration,Commerce (International) with Hispanic Studies,CK208,402,,,,402,,484,8,University College Cork (NUI),,,
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,#450,,,,,,,,Business and administration,Commerce (International) with Irish,CK209,484,,,,484,,531,8,University College Cork (NUI),,,
CR220,Fine Art at CIT Crawford College of Art and Design,#400,,,,,,,,Business and administration,Commerce (International) with Chinese Studies,CK211,397,,,,397,,433,8,University College Cork (NUI),,,
CR225,Photography with New Media at CIT Crawford College,#435,,,,,,,,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444,,,,444,,473,8,University College Cork (NUI),,,
CR305,Physical Sciences (Common Entry),260,,,,,,,,Business and administration,Food Marketing and Entrepreneurship,CK213,462,,,,462,,476,8,University College Cork (NUI),,,
CR310,IT Management,347,,,,,,,,Social and behavioural sciences,International Development,CK214,346,,,,346,,422,8,University College Cork (NUI),,,
CR320,Biomedical Science - Offered jointly by CIT and UC,590*,,,,,,,,Law,Law (Pathways) -  3 or 4 years,CK301,507,,499,,498,*,531,8,University College Cork (NUI),,,
CR325,Pharmaceutical Biotechnology,466,,,,,,,,Law,Law and French,CK302,542,,,,542,,576,8,University College Cork (NUI),,,
